REG;Région;NBARR;NBCAN;NBCOM;PMUN;PTOT
01;Guadeloupe;2;21;32;384315;389277
02;Martinique;4;NA;34;360749;364916
03;Guyane;3;NA;22;286618;288739
04;La Réunion;4;25;24;871157;880875
11;Île-de-France;25;155;1268;12317279;12427975
24;Centre-Val de Loire;20;102;1757;2573303;2630743
27;Bourgogne-Franche-Comté;24;152;3699;2800194;2872386
28;Normandie;17;131;2651;3327966;3398102
32;Hauts-de-France;26;145;3787;5995292;6085665
44;Grand Est;38;200;5119;5561287;5665457
52;Pays de la Loire;16;107;1233;3853999;3944100
53;Bretagne;15;102;1207;3394567;3482543
75;Nouvelle-Aquitaine;41;258;4308;6069352;6206404
76;Occitanie;36;249;4453;6022176;6144768
84;Auvergne-Rhône-Alpes;39;241;4028;8114361;8284162
93;Provence-Alpes-Côte d'Azur;18;126;946;5127840;5201894
94;Corse;5;26;360;347597;352559
